College Name,District,Type,Affiliation
Government Arts and Science College Aravakurichi,Karur,Government,Directorate of Collegiate Education
Government Arts College for Men Krishnagiri,Krishnagiri,Government,Directorate of Collegiate Education
Government Arts and Science College for Women Barugur,Krishnagiri,Government,Directorate of Collegiate Education
Government Arts College for Women Krishnagiri,Krishnagiri,Government,Directorate of Collegiate Education
Government Arts and Science College Hosur,Krishnagiri,Government,Directorate of Collegiate Education
Government Arts and Science College Thalli,Krishnagiri,Government,Directorate of Collegiate Education
Sri Meenakshi Government Arts College for Women Madurai,Madurai,Government,Directorate of Collegiate Education
Government Arts College Melur,Madurai,Government,Directorate of Collegiate Education
Government Arts and Science College Thirumangalam,Madurai,Government,Directorate of Collegiate Education
Dharmapuram Gnanambigai Government Arts College for Women Mayiladuthurai,Mayiladuthurai,Government,Directorate of Collegiate Education
Government Arts and Science College Manalmedu,Mayiladuthurai,Government,Directorate of Collegiate Education
Ponmana Semmal Puratchi Thalaivar M.G.R Government Arts and Science College Sirkali,Mayiladuthurai,Government,Directorate of Collegiate Education
Government Arts and Science College Kuthalam,Mayiladuthurai,Government,Directorate of Collegiate Education
Government Arts and Science College Vedaranyam,Nagapattinam,Government,Directorate of Collegiate Education
Government Arts and Science College Nagapattinam,Nagapattinam,Government,Directorate of Collegiate Education
Arignar Anna Government Arts College Namakkal,Namakkal,Government,Directorate of Collegiate Education
Thiruvalluvar Government Arts College Rasipuram,Namakkal,Government,Directorate of Collegiate Education
Namakkal Kavignar Ramalingam Government Arts College for Women Namakkal,Namakkal,Government,Directorate of Collegiate Education
Government Arts and Science College Komarapalayam,Namakkal,Government,Directorate of Collegiate Education
Government Arts and Science College Sendamangalam,Namakkal,Government,Directorate of Collegiate Education
Government Arts and Science College Veppanthattai,Perambalur,Government,Directorate of Collegiate Education
Government Arts and Science College Perambalur,Perambalur,Government,Directorate of Collegiate Education
Government Arts and Science College for Women Veppur,Perambalur,Government,Directorate of Collegiate Education
Government Arts and Science College Kollakkanatham,Perambalur,Government,Directorate of Collegiate Education
H.H. The Rajah's College Pudukkottai,Pudukkottai,Government,Directorate of Collegiate Education
Kalaignar Karunanidhi Government Arts College for Women Pudukkottai,Pudukkottai,Government,Directorate of Collegiate Education
Government Arts and Science College Karambakudi,Pudukkottai,Government,Directorate of Collegiate Education
Government Arts and Science College Aranthangi,Pudukkottai,Government,Directorate of Collegiate Education
Government Arts and Science College Thirumayam,Pudukkottai,Government,Directorate of Collegiate Education
Government Arts and Science College Alangudi,Pudukkottai,Government,Directorate of Collegiate Education
Sethupathy Government Arts College Ramanathapuram,Ramanathapuram,Government,Directorate of Collegiate Education
Government Arts College for Women Ramanathapuram,Ramanathapuram,Government,Directorate of Collegiate Education
Government Arts College Paramakudi,Ramanathapuram,Government,Directorate of Collegiate Education
Government Arts and Science College Kadaladi,Ramanathapuram,Government,Directorate of Collegiate Education
Government Arts and Science College Mudhukulathur,Ramanathapuram,Government,Directorate of Collegiate Education
Government Arts and Science College Thiruvadanai,Ramanathapuram,Government,Directorate of Collegiate Education
Bharat Ratna Dr APJ Abdul Kalam Government Arts and Science College Rameswaram,Ramanathapuram,Government,Directorate of Collegiate Education
Government Arts and Science College for Women Paramakudi,Ramanathapuram,Government,Directorate of Collegiate Education
Arignar Anna Government Arts College for Women Walajapet,Ranipet,Government,Directorate of Collegiate Education
Government Arts and Science College Arakkonam,Ranipet,Government,Directorate of Collegiate Education
Government Arts and Science College Sholinghur,Ranipet,Government,Directorate of Collegiate Education
Government Arts College Salem,Salem,Government,Directorate of Collegiate Education
Arignar Anna Government Arts College Attur,Salem,Government,Directorate of Collegiate Education
Government Arts College for Women Salem,Salem,Government,Directorate of Collegiate Education
Government Arts and Science College Mettur,Salem,Government,Directorate of Collegiate Education
Government Arts and Science College Idappadi,Salem,Government,Directorate of Collegiate Education
V.S.Sivalingam Government Arts College Pulankurichi,Sivagangai,Government,Directorate of Collegiate Education
Raja Doraisingam Government Arts College Sivagangai,Sivagangai,Government,Directorate of Collegiate Education
Alagappa Government Arts College Karaikudi,Sivagangai,Government,Directorate of Collegiate Education
Government Arts College for Women Sivagangai,Sivagangai,Government,Directorate of Collegiate Education
Government Arts and Science College Manamadurai,Sivagangai,Government,Directorate of Collegiate Education
Kamarajar Govt Arts College Surandai,Tenkasi,Government,Directorate of Collegiate Education
